data,lat,lon,vehicle
17/10/2023,1.111,2.3,A123
17/10/2023,1.112,2.3,A123
17/10/2023,1.113,2.3,A123
17/10/2023,1.114,2.3,A123
17/10/2023,1.115,2.3,A123
17/10/2023,1.116,2.3,A123
17/10/2023,1.117,2.3,A123
17/10/2023,1.118,2.3,A123
17/10/2023,1.119,2.3,A123
17/10/2023,1.120,2.3,A123
17/10/2023,1.121,2.3,A123
17/10/2023,1.122,2.3,A123
17/10/2023,1.123,2.3,A123
17/10/2023,1.124,2.3,A123
17/10/2023,1.125,2.3,A123
17/10/2023,1.126,2.3,A123
17/10/2023,1.127,2.3,A123
17/10/2023,1.128,2.3,A123
17/10/2023,1.129,2.3,A123
17/10/2023,1.130,2.3,A123
17/10/2023,1.131,2.3,A123
17/10/2023,1.132,2.3,A123
17/10/2023,1.133,2.3,A123
17/10/2023,1.134,2.3,A123
17/10/2023,1.135,2.3,A123
17/10/2023,1.136,2.3,A123
17/10/2023,1.137,2.3,A123
17/10/2023,1.138,2.3,A123
17/10/2023,1.139,2.3,A123
